Título,Nota,URL,Etiquetas,Comentario
Mercado de la Reina 10,,https://www.google.com/maps/place/Mercado+de+la+Reina+10/data=!4m2!3m1!1s0xd42294574b2bef3:0x3944a36dfc05f093,,
Araldo,,https://www.google.com/maps/place/Araldo/data=!4m2!3m1!1s0xd4229548698f051:0x42ecfda1a182cb0,,
La Vaca Argentina Ventura,,https://www.google.com/maps/place/La+Vaca+Argentina+Ventura/data=!4m2!3m1!1s0xd422935039129b3:0x5dbe6ee1d9a8538b,,
Ochenta Grados Castellana,,https://www.google.com/maps/place/Ochenta+Grados+Castellana/data=!4m2!3m1!1s0xd4229cd92345807:0x90749865795fd8bd,,
Ochenta Grados Montecarmelo,,https://www.google.com/maps/place/Ochenta+Grados+Montecarmelo/data=!4m2!3m1!1s0xd422b6d34f29ad1:0x99abf20053c46410,,
Ochenta Grados Las Tablas,,https://www.google.com/maps/place/Ochenta+Grados+Las+Tablas/data=!4m2!3m1!1s0xd422bf6d129166b:0x9771ff179991454b,,
Santoku La Barra,Locura de menú de 6 pases 35€ cocina en directo,https://www.google.com/maps/place/Santoku+La+Barra/data=!4m2!3m1!1s0xd422900797c4d25:0x7c798372d177bdf,,
Pizzeria Friggitoria Fratelli Figurato,,https://www.google.com/maps/place/Pizzeria+Friggitoria+Fratelli+Figurato/data=!4m2!3m1!1s0xd4229f7fe34ea37:0xdc69ba4a57227a74,,
Grosso Napoletano,,https://www.google.com/maps/place/Grosso+Napoletano/data=!4m2!3m1!1s0xd4227659d13c451:0x27ed4d309bcdbdb4,,
focacciamo,Focaccias del tiempo con ingredientes fríos espectaculares 10-13€ con una focaccia come uno de sobra y la limonada de locura,https://www.google.com/maps/place/focacciamo/data=!4m2!3m1!1s0xd42299a67d0c071:0x641d2bcefc747565,,
MASALA HOUSE,,https://www.google.com/maps/place/MASALA+HOUSE/data=!4m2!3m1!1s0xd422901b0412dad:0xa2e517ac0877fac0,,
Casa Mories,"Croquetas de locura, tortilla muy buena y una tarta de queso con helado espectacular ",https://www.google.com/maps/place/Casa+Mories/data=!4m2!3m1!1s0xd422878d8baaa61:0xd850dc3f954ff239,,
La Barra de la Tasquería,,https://www.google.com/maps/place/La+Barra+de+la+Tasquer%C3%ADa/data=!4m2!3m1!1s0xd4229002d49bbaf:0x4ea80ba6bdd6b615,,
BURGERJAZZ™,,https://www.google.com/maps/place/BURGERJAZZ%E2%84%A2/data=!4m2!3m1!1s0xd422b7167126d73:0x81e9ee52f1cda77b,,
BURGERJAZZ™,,https://www.google.com/maps/place/BURGERJAZZ%E2%84%A2/data=!4m2!3m1!1s0xd418988f264257b:0xfe99e3c555fdb784,,
Hype l Hamburguesas Chamberí,,https://www.google.com/maps/place/Hype+l+Hamburguesas+Chamber%C3%AD/data=!4m2!3m1!1s0xd4229668fdfbc85:0xa91fe608fee2d4c1,,
Bálamo restaurante,,https://www.google.com/maps/place/B%C3%A1lamo+restaurante/data=!4m2!3m1!1s0xd418fc79d1ff67d:0x46004e0103221d56,,
Hamburguesería HYPE,,https://www.google.com/maps/place/Hamburgueser%C3%ADa+HYPE/data=!4m2!3m1!1s0xd4185007366e31f:0x74e6b4837fa7c861,,
Hype l Hamburguesas Pozuelo,,https://www.google.com/maps/place/Hype+l+Hamburguesas+Pozuelo/data=!4m2!3m1!1s0xd4187dadd5c7317:0xd41962c165d0efc6,,
Hype l Hamburguesas Madrid,,https://www.google.com/maps/place/Hype+l+Hamburguesas+Madrid/data=!4m2!3m1!1s0xd4229004cdd40cf:0xd072a90ad04cab63,,
HYPE,,https://www.google.com/maps/place/HYPE/data=!4m2!3m1!1s0xd4183227c6bf8ff:0xac7a6bd40b3ff90a,,
HYPE,,https://www.google.com/maps/place/HYPE/data=!4m2!3m1!1s0xd418bd4f4f004e3:0x1a71721ee962930b,,
La Nave Burger,,https://www.google.com/maps/place/La+Nave+Burger/data=!4m2!3m1!1s0xd418bc3718b1edd:0x1bb7f3cad041d184,,
Distrito Burger - General Perón,,https://www.google.com/maps/place/Distrito+Burger+-+General+Per%C3%B3n/data=!4m2!3m1!1s0xd422995b9c93c8d:0x6ab637b17bdff365,,
Distrito Burger - Princesa,,https://www.google.com/maps/place/Distrito+Burger+-+Princesa/data=!4m2!3m1!1s0xd4229e9d7b498f5:0x56755356e029a1e6,,
Distrito Burger - Ibiza,,https://www.google.com/maps/place/Distrito+Burger+-+Ibiza/data=!4m2!3m1!1s0xd42295fb5dc592f:0xbc4715c801895eee,,
Distrito Burger - Parquesur,,https://www.google.com/maps/place/Distrito+Burger+-+Parquesur/data=!4m2!3m1!1s0xd4227e12e1572b7:0x7ae18d64aafc49da,,
Distrito Burger - Nuñez de Arce,,https://www.google.com/maps/place/Distrito+Burger+-+Nu%C3%B1ez+de+Arce/data=!4m2!3m1!1s0xd42293a4540d9df:0x333071b5c34b3c4,,
Restaurante Twister Rock&Food,,https://www.google.com/maps/place/Restaurante+Twister+Rock%26Food/data=!4m2!3m1!1s0xd41898a408c442f:0xa93c97e04d238443,,
Smash Mad House,Están buenas pero mejor Williamsburg o Fitzgerald que están al lado,https://www.google.com/maps/place/Smash+Mad+House/data=!4m2!3m1!1s0xd418f4e06abf4bb:0xeb3dd612d84a8b75,,
Pizzería Más Leña,,https://www.google.com/maps/place/Pizzer%C3%ADa+M%C3%A1s+Le%C3%B1a/data=!4m2!3m1!1s0xd419b001e6f3d47:0xd0821fc780003063,,
Pizza Posta,,https://www.google.com/maps/place/Pizza+Posta/data=!4m2!3m1!1s0xd4227a3f031939b:0x6618f6f7a0eb3f20,,
Brasas Madrid Vicálvaro,,https://www.google.com/maps/place/Brasas+Madrid+Vic%C3%A1lvaro/data=!4m2!3m1!1s0xd422591305edb3f:0x726e4aaf1938763d,,
RavioXO,,https://www.google.com/maps/place/RavioXO/data=!4m2!3m1!1s0xd422923b8ad57c3:0x27181ef23481406,,
Alqueria El Brosquil,,https://www.google.com/maps/place/Alqueria+El+Brosquil/data=!4m2!3m1!1s0xd604912dbaf123d:0x8cbf582ef72ab746,,
Restaurante Genuina,,https://www.google.com/maps/place/Restaurante+Genuina/data=!4m2!3m1!1s0xd604974b825fe8d:0x2e16fb70c79c24fa,,
Restaurante Argentino ILPI,,https://www.google.com/maps/place/Restaurante+Argentino+ILPI/data=!4m2!3m1!1s0xd6219a95c214263:0xe786eb1f597d3832,,
BIG TWINS Burger Playa de San Juan,,https://www.google.com/maps/place/BIG+TWINS+Burger+Playa+de+San+Juan/data=!4m2!3m1!1s0xd6239f3e2526375:0x18345af72c877ab8,,
La Taberna Del Gourmet,,https://www.google.com/maps/place/La+Taberna+Del+Gourmet/data=!4m2!3m1!1s0xd62364ce9f4e839:0x837d224c4d40f39d,,
Restaurante Toch,,https://www.google.com/maps/place/Restaurante+Toch/data=!4m2!3m1!1s0xd6239b80321a229:0x9416719b4956d2c,,
La Taberna del Gourmet,,https://www.google.com/maps/place/La+Taberna+del+Gourmet/data=!4m2!3m1!1s0xd6237b109033de9:0x54efa5c11de46bc2,,
BDP Burger Coslada,,https://www.google.com/maps/place/BDP+Burger+Coslada/data=!4m2!3m1!1s0xd4230090efbe161:0xe75a4b130d565ff0,,
BDP Smash Coslada,,https://www.google.com/maps/place/BDP+Smash+Coslada/data=!4m2!3m1!1s0xd42318f03921a1f:0xab772d90581fb5d,,
BDP Burger Rivas,,https://www.google.com/maps/place/BDP+Burger+Rivas/data=!4m2!3m1!1s0xd423b20930ab3c3:0x3387ecb2ad29731,,
BDP Burger Alberto Alcocer,,https://www.google.com/maps/place/BDP+Burger+Alberto+Alcocer/data=!4m2!3m1!1s0xd4229d457954bd3:0xfc1b7bb5d9813ac4,,
Bdp Burger Pozuelo de Alarcón,,https://www.google.com/maps/place/Bdp+Burger+Pozuelo+de+Alarc%C3%B3n/data=!4m2!3m1!1s0xd4187b2f6625d09:0xab3b88bf5d128f6d,,
y Lucientes,,https://www.google.com/maps/place/y+Lucientes/data=!4m2!3m1!1s0xd422928ea61f27f:0xcb756e5a52d4b880,,
GIOIA,"Italiano muy elegante y bueno y a little caro. 
Menú degustación 79€",https://www.google.com/maps/place/GIOIA/data=!4m2!3m1!1s0xd4228860d9a76b7:0xa8db26ace445a259,,
Jenkin’s - Orense,,https://www.google.com/maps/place/Jenkin%E2%80%99s+-+Orense/data=!4m2!3m1!1s0xd4229001ea18203:0x331a1c02e754e161,,
Restaurante Chirón,"Menú ejecutivo 39€ mediodías estrella michelin top
Menú degustación noches jueves a sábado 56€",https://www.google.com/maps/place/Restaurante+Chir%C3%B3n/data=!4m2!3m1!1s0xd421ec76a134625:0xe31c4d4f02ca3b44,,
Mawey Taco Bar - Majadahonda,,https://www.google.com/maps/place/Mawey+Taco+Bar+-+Majadahonda/data=!4m2!3m1!1s0xd41852297ac9a45:0x25be5987bf0e134a,,
Rita La cantaora,Muy buen precio y entrantes ricos,https://www.google.com/maps/place/Rita+La+cantaora/data=!4m2!3m1!1s0xd418989f52a6abd:0xa16a22c85266bb3d,,
LA FEDERALA MÓSTOLES,,https://www.google.com/maps/place/LA+FEDERALA+M%C3%93STOLES/data=!4m2!3m1!1s0xd418dd8481880f7:0x7e0dc41716ccd2e7,,
BDP Burger Alcorcón,,https://www.google.com/maps/place/BDP+Burger+Alcorc%C3%B3n/data=!4m2!3m1!1s0xd418f001251d66b:0x899b770e23b55bea,,
Restaurante Yukatán Exotic Mexican & Mediterranean Food Alcorcón,,https://www.google.com/maps/place/Restaurante+Yukat%C3%A1n+Exotic+Mexican+%26+Mediterranean+Food+Alcorc%C3%B3n/data=!4m2!3m1!1s0xd418f02d840f233:0x5004d68289b14032,,
Restaurante Bel Mondo,,https://www.google.com/maps/place/Restaurante+Bel+Mondo/data=!4m2!3m1!1s0xd422976067d2057:0x53f2fc759b7b6995,,
La Maruca - López de Hoyos,,https://www.google.com/maps/place/La+Maruca+-+L%C3%B3pez+de+Hoyos/data=!4m2!3m1!1s0xd4229e8ef02cfcb:0xd1cf2cc90a21d6c4,,
La Maruca - Velázquez,,https://www.google.com/maps/place/La+Maruca+-+Vel%C3%A1zquez/data=!4m2!3m1!1s0xd41f3110944fb1f:0x347d956ace30a5c4,,
PITTACUM Bistro Bar,,https://www.google.com/maps/place/PITTACUM+Bistro+Bar/data=!4m2!3m1!1s0xd4199e33173952b:0x689f4e08b18de26b,,
BURGERJAZZ High-Quality Smash Burger,,https://www.google.com/maps/place/BURGERJAZZ+High-Quality+Smash+Burger/data=!4m2!3m1!1s0xd4185987c1e8b15:0x728770bfb26af24c,,
BURGERJAZZ High-Quality Smash Burger,,https://www.google.com/maps/place/BURGERJAZZ+High-Quality+Smash+Burger/data=!4m2!3m1!1s0xd418733e469458d:0xe9bb3858bd2b20c5,,
BURGERJAZZ High-Quality Smash Burger,,https://www.google.com/maps/place/BURGERJAZZ+High-Quality+Smash+Burger/data=!4m2!3m1!1s0xd4229923162a463:0x8917ad879f0b3792,,
BURGERJAZZ High-Quality Smash Burger,,https://www.google.com/maps/place/BURGERJAZZ+High-Quality+Smash+Burger/data=!4m2!3m1!1s0xd422931b3bb0b8b:0xc56c5e6e6766a499,,
BURGERJAZZ High-Quality Smash Burger,,https://www.google.com/maps/place/BURGERJAZZ+High-Quality+Smash+Burger/data=!4m2!3m1!1s0xd42295458c330cb:0x87c6fc23f20d6b45,,
Frankie Burgers,,https://www.google.com/maps/place/Frankie+Burgers/data=!4m2!3m1!1s0xd422970e086e197:0x6ea5a5d497c1f838,,
Frankie Burgers Ponzano | Hamburguesas Madrid,,https://www.google.com/maps/place/Frankie+Burgers+Ponzano+%7C+Hamburguesas+Madrid/data=!4m2!3m1!1s0xd4229a623922ee3:0x8cf52996ef8243ad,,
New York Burger - Leganés,,https://www.google.com/maps/place/New+York+Burger+-+Legan%C3%A9s/data=!4m2!3m1!1s0xd422734795f1603:0x6c7e614e9cdd5e78,,
Kilómetros de Pizza X,,https://www.google.com/maps/place/Kil%C3%B3metros+de+Pizza+X/data=!4m2!3m1!1s0xd418f19fa678e09:0xb444430e8afb364f,,
Roost Chicken Parquesur,,https://www.google.com/maps/place/Roost+Chicken+Parquesur/data=!4m2!3m1!1s0xd42272aa51c3661:0x7acd8c4b2cf305e1,,
La Tasquería,Estrella michelin 59€ casquería muy top,https://www.google.com/maps/place/La+Tasquer%C3%ADa/data=!4m2!3m1!1s0xd4228a360f17913:0x89d396c73638e614,,
"Eneko Basque, Madrid",Menú estrella michelin correcto 60€,"https://www.google.com/maps/place/Eneko+Basque,+Madrid/data=!4m2!3m1!1s0xd42274594319fdb:0xee4cf49adaa318cc",,
perretxiCo Cuzco,,https://www.google.com/maps/place/perretxiCo+Cuzco/data=!4m2!3m1!1s0xd4229457c5b4d37:0xb4ba92fc30765b2d,,
PerretxiCo Corazón de Maria,,https://www.google.com/maps/place/PerretxiCo+Coraz%C3%B3n+de+Maria/data=!4m2!3m1!1s0xd4229e7f5617f5b:0x31665f178f0baf74,,
perretxiCo Chueca,,https://www.google.com/maps/place/perretxiCo+Chueca/data=!4m2!3m1!1s0xd42297e53362ca5:0xb3e6d3434e2d82ec,,
perretxiCo Chamberí,Menú 29.90€ degustación (mínimo 2 personas sin bebida),https://www.google.com/maps/place/perretxiCo+Chamber%C3%AD/data=!4m2!3m1!1s0xd4229d421814e37:0xa9f8fc9d7b406d7d,,
Maracca,"Croquetas de jamón (buena) y de gambon (muy buena) 1.6€ unidad
Sándwich de solomillo de foie con brioche y yema de huevo 11€ muy rico
Bao de pato rico 9.5€ 2 unidades
Nachos muy grandes con pico de gallo, cheddar, guacamole rico, carne con chili frijoles correcta 13€
Tarta de queso 6.5€ fuerte y sin más aprobada bien",https://www.google.com/maps/place/Maracca/data=!4m2!3m1!1s0xd4228f660f22959:0x9fb87b4094812d2b,,
Desborre,Locura menú 48€ falso risotto top platos de mi vida y tarta de queso buenísima ,https://www.google.com/maps/place/Desborre/data=!4m2!3m1!1s0xd42291cddcdddf1:0x92555db5cd6afcc6,,
Davanti Ristorante,,https://www.google.com/maps/place/Davanti+Ristorante/data=!4m2!3m1!1s0xd4229bc5ecfbd8f:0xa781406557b11aa1,,
Asiático Xing Long,,https://www.google.com/maps/place/Asi%C3%A1tico+Xing+Long/data=!4m2!3m1!1s0xd4220be24d92267:0x6392908564f28557,,
Pez Fuego,,https://www.google.com/maps/place/Pez+Fuego/data=!4m2!3m1!1s0xd42290521162cad:0x4e9e5b8d8696b25e,,
A'Barra,,https://www.google.com/maps/place/A'Barra/data=!4m2!3m1!1s0xd4228ec0038c183:0x73a1a17dd4d9d86e,,
FIERA,,https://www.google.com/maps/place/FIERA/data=!4m2!3m1!1s0xd42295154c971f9:0x5d693e4f5fc0813b,,
perretxiCo Narváez,,https://www.google.com/maps/place/perretxiCo+Narv%C3%A1ez/data=!4m2!3m1!1s0xd42296e281473f7:0xa9eab02b953da37d,,
Mano a Mano Hamburguesería,,https://www.google.com/maps/place/Mano+a+Mano+Hamburgueser%C3%ADa/data=!4m2!3m1!1s0xd418b9debed3f31:0x64250098a2db943f,,
Restaurante La Gata Azul,,https://www.google.com/maps/place/Restaurante+La+Gata+Azul/data=!4m2!3m1!1s0xd418b08c7e1a199:0xbd85661bd2ea06e8,,
La Boutique Trattoria Viajera,,https://www.google.com/maps/place/La+Boutique+Trattoria+Viajera/data=!4m2!3m1!1s0xd418f9295b661c9:0x675ac8ee310cd68c,,
Hamburguesa Nostra,,https://www.google.com/maps/place/Hamburguesa+Nostra/data=!4m2!3m1!1s0xd418f3a28d6d555:0x2c6d68bf29f884b4,,
EL KIOSKO | X-Madrid,,https://www.google.com/maps/place/EL+KIOSKO+%7C+X-Madrid/data=!4m2!3m1!1s0xd418f58abdc2c73:0x1159bc12fd027864,,
Restaurante Bacanal Fuenlabrada,,https://www.google.com/maps/place/Restaurante+Bacanal+Fuenlabrada/data=!4m2!3m1!1s0xd418b126eb66fa7:0xd35f523d6b8b5a1d,,
Ohana Bar Restaurante,,https://www.google.com/maps/place/Ohana+Bar+Restaurante/data=!4m2!3m1!1s0xd418b0f14486b29:0x1d2b326c34730ab,,
The Black co,,https://www.google.com/maps/place/The+Black+co/data=!4m2!3m1!1s0xd418b06dbaffdfb:0xa036bc10c44ca520,,
Daytona,,https://www.google.com/maps/place/Daytona/data=!4m2!3m1!1s0xd418afe1e3f0c33:0x9e84603ca5082acc,,
The Fitzgerald Burger Company,,https://www.google.com/maps/place/The+Fitzgerald+Burger+Company/data=!4m2!3m1!1s0xd418bbea15cfbc7:0xb8ef559dd7fe6423,,
Restaurante Asiático Tokio,Chino bueno,https://www.google.com/maps/place/Restaurante+Asi%C3%A1tico+Tokio/data=!4m2!3m1!1s0xd4220b785310b2b:0x180b6ca3b4a13825,,
Restaurante Baco Getafe,,https://www.google.com/maps/place/Restaurante+Baco+Getafe/data=!4m2!3m1!1s0xd4220bcab94c8dd:0x7fe448cf5f53e3d3,,
Heladería Ebocca,,https://www.google.com/maps/place/Helader%C3%ADa+Ebocca/data=!4m2!3m1!1s0xd418bf5e95d38a5:0x628604268cfce706,,
Made in Terra Nostra,,https://www.google.com/maps/place/Made+in+Terra+Nostra/data=!4m2!3m1!1s0xd418a70091af7db:0x7b860b6da0748ea4,,
El Rancho de Santa África Smoke House,,https://www.google.com/maps/place/El+Rancho+de+Santa+%C3%81frica+Smoke+House/data=!4m2!3m1!1s0xd418514a02420f9:0xf40c62b7ab95bb70,,
Verbena Bar,Raciones grandes y buenas,https://www.google.com/maps/place/Verbena+Bar/data=!4m2!3m1!1s0xd42286212a766b3:0xbe77c5e9d7533d6,,
Flavia Madrid,Italiano rico en especial la boloñesa,https://www.google.com/maps/place/Flavia+Madrid/data=!4m2!3m1!1s0xd42289a66294823:0xaefee98cbd29dbef,,
VICIO Almagro | Restaurant,Ricas smash,https://www.google.com/maps/place/VICIO+Almagro+%7C+Restaurant/data=!4m2!3m1!1s0xd42293fe39b40a9:0x1ef66ac4b4ff872f,,
New York Burger,Mejor que foster,https://www.google.com/maps/place/New+York+Burger/data=!4m2!3m1!1s0xd42289a8d44f1d9:0x79fead7f44ab246f,,
Restaurante Bondillo,Bueno casero,https://www.google.com/maps/place/Restaurante+Bondillo/data=!4m2!3m1!1s0xd4189fe5590c1c7:0xdb439ff99b2a81e3,,
Platea Madrid,Ambiente y comida bebida,https://www.google.com/maps/place/Platea+Madrid/data=!4m2!3m1!1s0xd422891212e833d:0x48814bb763739b5f,,
Ochenta Grados Malasaña,menú muy rico y bueno,https://www.google.com/maps/place/Ochenta+Grados+Malasa%C3%B1a/data=!4m2!3m1!1s0xd422861fabec507:0x7436803376457174,,
Saona Balboa,Menú muy bueno,https://www.google.com/maps/place/Saona+Balboa/data=!4m2!3m1!1s0xd4228c036cea129:0x716f4e433fdaaf78,,
Ojalá,Muy guay pero carete,https://www.google.com/maps/place/Ojal%C3%A1/data=!4m2!3m1!1s0xd4228628a1270a9:0x7c7e8d0d45eb84,,
Torcuato,Muy bonito y muy rico pero un pelín caro ,https://www.google.com/maps/place/Torcuato/data=!4m2!3m1!1s0xd422907e01de265:0x9a8db88447025ca3,,
Cachivache Taberna Serrano,Muy rico,https://www.google.com/maps/place/Cachivache+Taberna+Serrano/data=!4m2!3m1!1s0xd422920a8bea1c1:0xabf518ad1bec00e9,,
Raimunda,Muy rico pero un pelín caro,https://www.google.com/maps/place/Raimunda/data=!4m2!3m1!1s0xd42298c3d96ae9d:0xf2bacefb7378b28e,,
StreetXO,Una locura en todos los sentidos ,https://www.google.com/maps/place/StreetXO/data=!4m2!3m1!1s0xd422896b6db925f:0xec3a637f01b93a70,,
DiverXO,Una puta locura,https://www.google.com/maps/place/DiverXO/data=!4m2!3m1!1s0xd422903801a427d:0x979c36aff4f18245,,
